Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.6278918638443,37.4188554431481,29.7210671376957,31.114854912062,28.6359685844686,30.1050113574013,24.8922700059742,29.2975010547259,26.2100685374552,23.7436639877543,24.390873626371,22.8106627361766,22.1370413719574,20.6343227166798,25.7403140364582,26.4201990834448,22.0428967527575,25.7739707394105,26.8206001075115,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.410863772173,31.5434438797069,28.7856504386147,25.9187455195517,24.5154120419235,22.7161641958722,22.0251140879353,21.9782570845961,20.537486307981,18.8453087247237,17.7083536239523,17.1536195739533,16.8370538440754,16.7943836018798,17.9558663972347,18.2267896025292,18.7668018946422,19.5651578123229,19.9901813581977,19.7802144171366,19.8499944651163,19.0221488477376,18.4294792485754,18.3893474367375,19.2644407973724,17.6832499895026
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.1069798696683,8.39504849504573,9.74941999421354,9.22498210721608,9.81055803710398,9.44047738886738,7.69131487186431,7.54307759118363,7.57062579400626,6.58667599204035,9.34336541090136,8.46644357650095,8.1105898797768,8.77068635508419,9.85111712761217,10.2863970707309,11.5787073364509,12.22009479501,11.7559033143154,11.87420084925,12.3362121115896,14.1347925891274,12.2960133880922
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.522633248415779,0.576826584593989,..
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.65321372200356,7.02686916586973,9.00201794169947,12.9111824086392,6.29025682837342,5.66468956353548,8.15637702246655,5.8395499748266,6.19838450193387,6.25087790478717,5.06040294790886,5.19128018876127,5.24227833734658,4.80533933843347,6.62119676383424,6.18029349810839,5.84568087986773,6.06962999112471,6.50749231982044,7.5470567791822,9.12253437222206,9.83116886032956,10.0169959653141,8.60774180183334,7.8826247630721,9.11010742433199,9.01630359468558
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,4.97087249556714,4.49459149422477,3.57760156977308,3.0701020672237,2.95812777348795,2.69924820794157,2.67930690469967,2.03732257465089,2.12784595964907,1.87129296662111,1.90907865965453,1.76773329788297,1.70630162173784,1.7806330960768,1.77993403095471,1.80259038915182,1.74536495567382,1.57653978108152,1.643078028563,1.61536348600583,1.71902463445559,1.66648008874325,1.66768177731373,1.59689852993905,1.6133808356082,1.7309205350118,1.74806575356684,1.60997394564425,1.75633598841419,1.65211521296098,1.60589089985752,1.54763610412009,1.49163724298882,1.6334084585151,1.93318183889934,1.898847481064,2.01729829368227,1.65576063634316,1.61232672128831,1.56801881003821,1.79359865171034,1.73591171688518,1.73340883252786,2.2141976776872,2.16286845046878
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Argentina,ARG,9.63756096402148,10.8658823843464,10.984869871801,11.9525224880875,10.2308377488667,6.58391049171414,8.15217071197834,8.08714211396881,7.5044274778029,7.79627735939132,6.35350500487903,6.47552296063439,9.59615604621897,8.65832496118367,8.3459768371011,7.63430725730443,7.80040264019792,8.09435846444628,8.97786821775225,9.61606509643166,8.12367620787488,6.71649176009431,5.99078709147934,5.13682648211779,5.08266800031075,5.351464616273,5.61086611323361,5.22197210944516,5.25272256987622,4.45782610229152,4.67991094417297,4.56858960891786,10.2066467144411,10.328166939117,8.36248661002826,7.93875427420938,6.93557229126392,7.45235394606923,7.3189545972436,5.2736234689014,7.13216745078964,6.99873377022519,5.7817442068501,6.05291843670451,6.71270351428559,5.1566859021408,6.26456582010254,5.23162237725058,4.53787889681146,5.11101651115706,5.93240449413718,6.86985631011211
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.9126819526397,18.4347628834968,18.0720363470662,17.2231200318056,16.39047353385,14.9942601242776,13.9423116554146,11.5256107379588,11.2134239063556,11.109291414395
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.505922165820643,0.48582995951417,0.429978118161926,0.407916806440792,0.383268482490272,0.410080524903072,0.410162002945508,0.397978359908884,0.396884394643345,0.38709117938553,0.381912878787879,0.386541506446505,0.395764656791154,0.367636077814895,0.430956027127543,..,..,..,..,..,..,..,..,..,..,..,..
